id,rrsId,rsmId,score,time,feedback,reviewScore,teacherReview
96,104,6,1,"2024-10-01 11:45:58",繼續保持,-1,0
97,67,4,2,"2024-10-01 11:45:59",什麼都沒有,-1,0
98,67,5,1,"2024-10-01 11:45:59",可編譯，畢竟沒動,-1,0
99,67,6,1,"2024-10-01 11:45:59",很整齊，很空曠,-1,0
100,165,4,1,"2024-10-01 11:47:06",有喔!超級讚的!,-1,0
101,165,5,1,"2024-10-01 11:47:06",成功print出來,-1,0
102,165,6,1,"2024-10-01 11:47:06",很棒很整齊!!!,-1,0
103,71,4,1,"2024-10-01 11:48:11",一切正常,-1,0
104,71,5,1,"2024-10-01 11:48:11",一切很好,-1,0
105,71,6,1,"2024-10-01 11:48:11",一切非常好,-1,0
106,75,4,1,"2024-10-01 11:50:10",功能正常,-1,0
107,75,5,1,"2024-10-01 11:50:10",成功，運行沒問題,-1,0
108,75,6,1,"2024-10-01 11:50:10",整齊的咕嚕靈波,-1,0
109,100,4,1,"2024-10-01 11:50:53",整齊,-1,0
110,100,5,1,"2024-10-01 11:50:53",簡潔有力,-1,0
111,100,6,1,"2024-10-01 11:50:53",繼續保持,-1,0
112,148,4,1,"2024-10-01 11:51:02",good,-1,0
113,148,5,1,"2024-10-01 11:51:02",good,-1,0
114,148,6,1,"2024-10-01 11:51:02",good,-1,0
115,85,4,1,"2024-10-01 11:51:30",,-1,0
116,85,5,1,"2024-10-01 11:51:30",,-1,0
117,85,6,1,"2024-10-01 11:51:30",,-1,0
118,121,4,1,"2024-10-01 11:51:54",執行正常,-1,0
119,121,5,1,"2024-10-01 11:51:54",編譯正常,-1,0
120,121,6,1,"2024-10-01 11:51:54",TODO忘了刪但排版正常,-1,0
121,89,4,1,"2024-10-01 11:52:03",,-1,0
122,89,5,1,"2024-10-01 11:52:03",,-1,0
123,89,6,1,"2024-10-01 11:52:03",,-1,0
124,93,4,1,"2024-10-01 11:52:34",,-1,0
125,93,5,1,"2024-10-01 11:52:34",,-1,0
126,93,6,1,"2024-10-01 11:52:34",,-1,0
127,125,4,1,"2024-10-01 11:53:44",執行正常,-1,0
128,125,5,1,"2024-10-01 11:53:44",編譯正常,-1,0
129,125,6,1,"2024-10-01 11:53:44",TODO忘了刪但排版正常,-1,0
130,129,4,1,"2024-10-01 11:54:47",執行正常,-1,0
131,129,5,1,"2024-10-01 11:54:47",編譯正常,-1,0
132,129,6,1,"2024-10-01 11:54:47",TODO忘了刪但排版正常,-1,0
133,145,4,1,"2024-10-01 11:56:37",很好,-1,0
134,145,5,1,"2024-10-01 11:56:37",很好,-1,0
135,145,6,2,"2024-10-01 11:56:37",沒問題,1,0
136,149,4,1,"2024-10-01 11:56:57",很好,-1,0
137,149,5,1,"2024-10-01 11:56:57",很好,-1,0
138,149,6,1,"2024-10-01 11:56:57",沒問題,-1,0
139,153,4,1,"2024-10-01 11:57:09",很好,-1,0
140,153,5,1,"2024-10-01 11:57:09",很好,-1,0
141,153,6,1,"2024-10-01 11:57:09",沒問題,-1,0
142,106,4,1,"2024-10-01 12:00:26",,-1,0
143,106,5,1,"2024-10-01 12:00:26",,-1,0
144,106,6,1,"2024-10-01 12:00:26",,-1,0
145,110,4,1,"2024-10-01 12:00:40",,-1,0
146,110,5,1,"2024-10-01 12:00:40",,-1,0
147,110,6,1,"2024-10-01 12:00:40",,-1,0
148,114,4,1,"2024-10-01 12:00:52",,-1,0
149,114,5,1,"2024-10-01 12:00:52",,-1,0
150,114,6,1,"2024-10-01 12:00:52",,-1,0
151,73,4,1,"2024-10-01 12:03:34",,-1,0
152,73,5,1,"2024-10-01 12:03:34",,-1,0
153,73,6,1,"2024-10-01 12:03:34",,-1,0
154,139,4,2,"2024-10-01 13:25:13","只需Hello world 不需要其他文字及符號",-1,0
155,139,5,1,"2024-10-01 13:25:13",編譯沒問題,-1,0
156,139,6,1,"2024-10-01 13:25:13",排版沒問題,-1,0
157,143,4,1,"2024-10-01 13:26:21",,-1,0
158,143,5,1,"2024-10-01 13:26:21",,-1,0
159,143,6,1,"2024-10-01 13:26:21",,-1,0
160,147,4,1,"2024-10-01 13:27:15",,-1,0
161,147,5,1,"2024-10-01 13:27:15",,-1,0
162,147,6,1,"2024-10-01 13:27:15",,-1,0
163,166,4,1,"2024-10-01 15:38:16",,-1,0
164,166,5,1,"2024-10-01 15:38:16",,-1,0
165,166,6,1,"2024-10-01 15:38:16",,-1,0
166,170,4,1,"2024-10-01 15:42:46","Hello World 中間可以不用有逗號",-1,0
167,170,5,1,"2024-10-01 15:42:46",,-1,0
168,170,6,1,"2024-10-01 15:42:46",,-1,0
169,174,4,1,"2024-10-01 15:46:01",,-1,0
170,174,5,1,"2024-10-01 15:46:01",,-1,0
171,174,6,1,"2024-10-01 15:46:01",,-1,0
172,118,4,1,"2024-10-01 18:39:52",跟題目的要求很符合,-1,0
173,118,5,1,"2024-10-01 18:39:52",執行順利成功，輸出也沒問題,-1,0
174,118,6,1,"2024-10-01 18:39:52",一看就瞭解，寫的蠻清楚,-1,0
175,122,4,1,"2024-10-01 18:43:17",很符合題目的要求,-1,0
176,122,5,1,"2024-10-01 18:43:17",執行上都沒問題，輸出也沒錯,-1,0
177,122,6,1,"2024-10-01 18:43:17",寫的很清楚，很容易瞭解,-1,0
178,126,4,1,"2024-10-01 18:46:32",很符合題目的要求,-1,0
179,126,5,1,"2024-10-01 18:46:32",執行結果符合題目的要求，沒有任何問題,-1,0
180,126,6,1,"2024-10-01 18:46:32",寫的很清楚，很容易瞭解,-1,0
181,160,4,1,"2024-10-01 22:56:56",,-1,0
182,160,5,1,"2024-10-01 22:56:56",,-1,0
183,160,6,1,"2024-10-01 22:56:56",簡潔,-1,0
184,164,4,1,"2024-10-01 22:58:40",good,-1,0
185,164,5,1,"2024-10-01 22:58:40",good,-1,0
186,164,6,1,"2024-10-01 22:58:40",good,-1,0
187,168,4,1,"2024-10-01 22:59:34",good,-1,0
188,168,5,1,"2024-10-01 22:59:34",good,-1,0
189,168,6,1,"2024-10-01 22:59:34",good,-1,0
190,130,4,2,"2024-10-02 00:07:20",沒看見內容,0,0
191,130,5,2,"2024-10-02 00:07:20",沒看見內容,0,0
192,130,6,2,"2024-10-02 00:07:20",沒看見內容,0,0
193,10,4,1,"2024-10-02 00:09:56",,-1,0
194,10,5,1,"2024-10-02 00:09:56",,-1,0
195,10,6,1,"2024-10-02 00:09:56",,-1,0
196,134,4,2,"2024-10-02 00:37:31",沒看到內容,-1,0
197,134,5,2,"2024-10-02 00:37:31",沒看到內容,-1,0
198,134,6,2,"2024-10-02 00:37:31",沒看到內容,-1,0
199,138,4,2,"2024-10-02 00:37:46",沒看到內容,-1,0
200,138,5,2,"2024-10-02 00:37:46",沒看到內容,-1,0
201,138,6,2,"2024-10-02 00:37:46",沒看到內容,-1,0
202,91,4,2,"2024-10-02 10:02:00","沒有輸出Hello World",-1,0
203,91,5,2,"2024-10-02 10:02:00",程式無法執行,-1,0
204,91,6,1,"2024-10-02 10:02:00",排版整齊,-1,0
205,55,4,1,"2024-10-02 17:52:50",有達成要求,-1,0
206,55,5,1,"2024-10-02 17:52:50",編譯成功,-1,0
207,55,6,1,"2024-10-02 17:52:50",排版整齊,-1,0
208,59,4,1,"2024-10-02 17:55:08",有達成要求,-1,0
209,59,5,1,"2024-10-02 17:55:08",編譯成功,-1,0
210,59,6,1,"2024-10-02 17:55:08",排版整齊,-1,0
211,63,4,1,"2024-10-02 17:57:07",有達成要求,-1,0
212,63,5,1,"2024-10-02 17:57:07",編譯成功,-1,0
213,63,6,1,"2024-10-02 17:57:07",排版整齊,-1,0
214,142,4,1,"2024-10-02 19:13:39",符合題目要求,-1,0
215,142,5,1,"2024-10-02 19:13:39",能夠被編譯成功,-1,0
216,142,6,1,"2024-10-02 19:13:39",排版整齊,-1,0
217,146,4,1,"2024-10-02 19:15:28",符合題目要求,-1,0
218,146,5,1,"2024-10-02 19:15:28",編譯成功,-1,0
219,146,6,1,"2024-10-02 19:15:28",排版整齊,-1,0
220,150,4,1,"2024-10-02 19:17:49",符合題目要求,-1,0
221,150,5,1,"2024-10-02 19:17:49",編譯成功,-1,0
222,150,6,1,"2024-10-02 19:17:49",排版整齊,-1,0
223,128,4,1,"2024-10-02 21:18:35","good job",-1,0
224,128,5,1,"2024-10-02 21:18:35","good job",-1,0
225,128,6,1,"2024-10-02 21:18:35","good job",-1,0
226,124,4,1,"2024-10-02 21:19:54","good job",-1,0
227,124,5,1,"2024-10-02 21:19:54","good job",-1,0
228,124,6,1,"2024-10-02 21:19:54","good job",-1,0
229,132,4,2,"2024-10-02 21:21:19",未完成,-1,0
230,132,5,2,"2024-10-02 21:21:19",未完成,-1,0
231,132,6,2,"2024-10-02 21:21:19",未完成,-1,0
232,109,4,1,"2024-10-03 15:25:32",寫的很好,-1,0
233,109,5,1,"2024-10-03 15:25:32",寫的很好,-1,0
234,109,6,1,"2024-10-03 15:25:32",寫的很好,-1,0
235,113,4,1,"2024-10-03 15:25:59",寫的很好,-1,0
236,113,5,1,"2024-10-03 15:25:59",寫的很好,-1,0
237,113,6,1,"2024-10-03 15:25:59",寫的很好,-1,0
238,117,4,2,"2024-10-03 15:26:41",未完成作業,-1,0
239,117,5,2,"2024-10-03 15:26:41",未完成作業,-1,0
240,117,6,2,"2024-10-03 15:26:41",未完成作業,-1,0
241,16,4,1,"2024-10-03 16:14:47",Good,-1,0
242,16,5,1,"2024-10-03 16:14:47",Good,-1,0
243,16,6,1,"2024-10-03 16:14:47",Good,-1,0
244,20,4,1,"2024-10-03 16:16:47",Good,-1,0
245,20,5,1,"2024-10-03 16:16:47",Good,-1,0
246,20,6,1,"2024-10-03 16:16:47",Good,-1,0
247,24,4,1,"2024-10-03 16:18:29",Good,-1,0
248,24,5,1,"2024-10-03 16:18:29",Good,-1,0
249,24,6,1,"2024-10-03 16:18:29",Good,-1,0
250,95,4,2,"2024-10-03 17:48:08","沒有輸出Hello World",-1,0
251,95,5,2,"2024-10-03 17:48:08",無法執行,-1,0
252,95,6,1,"2024-10-03 17:48:08",排版整齊,-1,0
253,99,4,2,"2024-10-03 17:49:39","沒有輸出Hello World",-1,0
254,99,5,2,"2024-10-03 17:49:39",無法執行,-1,0
255,99,6,1,"2024-10-03 17:49:39",排版整齊,-1,0
256,13,4,2,"2024-10-06 13:39:28",沒有,4,0
257,13,5,2,"2024-10-06 13:39:28","並不行，沒有主要能輸出hello world的code",4,0
258,13,6,1,"2024-10-06 13:39:28","整齊 ",-1,0
259,17,4,1,"2024-10-06 13:40:26",執行結果正確,-1,0
260,17,5,1,"2024-10-06 13:40:26",可以編譯,-1,0
261,17,6,1,"2024-10-06 13:40:26",整齊,-1,0
262,21,4,1,"2024-10-06 14:00:40",是,-1,0
263,21,5,1,"2024-10-06 14:00:40",成功,-1,0
264,21,6,1,"2024-10-06 14:00:40",很整齊,-1,0
265,34,4,1,"2024-10-06 20:21:45",good,-1,0
266,34,5,1,"2024-10-06 20:21:45",good,-1,0
267,34,6,1,"2024-10-06 20:21:45",good,-1,0
268,38,4,1,"2024-10-06 20:23:16",good,-1,0
269,38,5,1,"2024-10-06 20:23:16",good,-1,0
270,38,6,1,"2024-10-06 20:23:16",good,-1,0
271,42,4,1,"2024-10-06 20:24:00",good,-1,0
272,42,5,1,"2024-10-06 20:24:00",good,-1,0
273,42,6,1,"2024-10-06 20:24:00",good,-1,0
274,178,4,1,"2024-10-06 21:29:01",,-1,0
275,178,5,1,"2024-10-06 21:29:01",,-1,0
276,178,6,1,"2024-10-06 21:29:01",,-1,0
277,2,4,2,"2024-10-06 21:32:37","要寫Hello World,不是Hello,World!",1,0
278,2,5,1,"2024-10-06 21:32:37",,-1,0
279,2,6,1,"2024-10-06 21:32:37",,-1,0
